equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Tanks,T-54-3M,,the Soviet Union,2,,,,,,,1.0,,,,1.0,,
Tanks,T-54B,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,T-55A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,T-55A Obr. 1981,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,Unknown T-54/55,,the Soviet Union,6,,,,,,,2.0,,,,4.0,,
Tanks,T-62 Obr. 1967,,the Soviet Union,5,,,1.0,,,,,,,,4.0,,
Tanks,T-62 Obr. 1972,,the Soviet Union,2,1.0,,,,,,,,,,1.0,,
Tanks,T-62 Obr. 1975,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-62M,,the Soviet Union,137,2.0,,29.0,,,9.0,6.0,5.0,,,86.0,,
Tanks,T-62M Obr. 2022,,Russia,49,2.0,,1.0,,,2.0,1.0,,,,43.0,,
Tanks,T-62MV,,the Soviet Union,36,1.0,,9.0,,,1.0,2.0,1.0,,,22.0,,
Tanks,T-62MV Obr. 2022,,Russia,10,,,,,,1.0,1.0,,,,8.0,,
Tanks,Unknown T-62,,Russia,39,2.0,,,,,,3.0,,,,34.0,,
Tanks,T-64A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,T-64BV,,the Soviet Union,93,2.0,,2.0,,1.0,10.0,5.0,1.0,,,72.0,,
Tanks,T-64BVK,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,Unknown T-64,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-72 'Ural',,the Soviet Union,5,1.0,,,,,,1.0,,,,3.0,,
Tanks,T-72A,,the Soviet Union,47,1.0,,9.0,1.0,,1.0,6.0,,,,29.0,,
Tanks,T-72AV,,the Soviet Union,28,,,3.0,,,,2.0,1.0,,,22.0,,
Tanks,T-72B,,the Soviet Union,356,16.0,,58.0,3.0,,8.0,11.0,6.0,,,254.0,,
Tanks,T-72B Obr. 1989,,the Soviet Union,115,4.0,1.0,16.0,1.0,1.0,4.0,9.0,3.0,,,76.0,,
Tanks,T-72B Obr. 2022,,Russia,169,11.0,,1.0,,,3.0,27.0,,,,127.0,,
Tanks,T-72BA,,Russia,31,,,15.0,,,2.0,,,,,14.0,,
Tanks,T-72B3,,Russia,376,6.0,,66.0,2.0,,25.0,17.0,10.0,,,250.0,,
