viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b
bert_20250404023629,114947,20230101,1,44553,interfaxua,700569,PPLA,Mykolayiv,Mykolayiv,1628,Mykola‹vs'ka,24267,31.993813,46.975574,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
bert_20250404023629,154139,20230101,1,44554,interfaxua,703448,PPLC,Kyiv,Kiev City,1210,Shevchenkivs'kyi,33738,30.52355,50.450441,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,69219,20230101,1,44555,interfaxua,695094,PPLX,Ruttschenkowo,Donets'k,655,Donets'ka,10139,37.675289,47.955082,ADM1,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,107929,20230101,1,44556,interfaxua,700051,PPLA2,Nikopol,Dnipropetrovs'k,650,Nikopol's'ka,25338,34.394812,47.567463,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,246634,20230101,1,44557,interfaxua,709930,PPLA,Dnipro,Dnipropetrovs'k,650,Dnipropetrovs'ka,9966,35.046181,48.464717,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,261395,20230101,1,44558,interfaxua,710771,PPL,Chorna Dolyna,Kherson,1195,Kakhovs'kyi,16943,33.481729,46.55783,ADM1,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,200126,20230101,1,44559,interfaxua,706448,PPLA,Kherson,Kherson,1195,Khersons'ka,17890,32.614962,46.640319,ADM3,1,1,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,192780,20230101,1,44560,interfaxua,706369,PPLA,Khmelnytskyy,Khmel'nyts'kyy,1196,Khmel'nyts'ka,17913,26.98717,49.423013,ADM3,1,0,0,,,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,345206,20230101,1,44561,interfaxua,11777953,PPL,Deremezna,Kiev,1209,Obukhivs'kyi,26204,30.476622,50.023928,ADM1,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
bert_20250404023629,292055,20230101,1,44562,interfaxua,713174,PPLA2,Bakhmut,Donets'k,655,Artemivs'ka,2371,38.001988,48.589471,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
