ADM1_NAME,ADM2_NAME,ADM2_CODE
Cherkasy,Cherkas'ka,7654.0
Cherkasy,Cherkas'kyi,7655.0
Cherkasy,Chornobaivs'kyi,7995.0
Cherkasy,Chyhyryns'kyi,8085.0
Cherkasy,Drabivs'kyi,10280.0
Cherkasy,Horodyshchens'kyi,14528.0
Cherkasy,Kanivs'kyi,17193.0
Cherkasy,Katerynopil's'kyi,17492.0
Cherkasy,Korsun'-Shevchenkivs'kyi,18694.0
Cherkasy,Lysians'kyi,21077.0
Cherkasy,Man'kivs'kyi,21674.0
Cherkasy,Monastyryshchens'kyi,23458.0
Cherkasy,Shpolians'kyi,33903.0
Cherkasy,Smilians'kyi,34535.0
Cherkasy,Tal'nivs'kyi,36055.0
Cherkasy,Umans'ka,38522.0
Cherkasy,Umans'kyi,38523.0
Cherkasy,Zhashkivs'kyi,41305.0
Cherkasy,Zolotonis'kyi,41423.0
Cherkasy,Zvenyhorods'kyi,41513.0
Chernihiv,Bakhmats'kyi,3141.0
Chernihiv,Bobrovyts'kyi,4877.0
Chernihiv,Borznians'kyi,5262.0
Chernihiv,Chernihivs'ka,7660.0
Chernihiv,Chernihivs'kyi,7661.0
Chernihiv,Horodnians'kyi,14524.0
Chernihiv,Ichnians'kyi,14940.0
Chernihiv,Koriukivs'kyi,18672.0
Chernihiv,Korops'kyi,18687.0
Chernihiv,Kozelets'kyi,18869.0
Chernihiv,Kulykivs'kyi,19130.0
Chernihiv,Mens'kyi,22740.0
Chernihiv,Nizhyns'ka,25444.0
Chernihiv,Nizhyns'kyi,25445.0
Chernihiv,Nosivs'kyi,25699.0
Chernihiv,Novhorod-Sivers'kyi,25837.0
Chernihiv,Pryluts'ka,29412.0
Chernihiv,Pryluts'kyi,29413.0
Chernihiv,Ripkyns'kyi,30555.0
Chernihiv,Semenivs'kyi,33289.0
Chernihiv,Shchors'kyi,33677.0
Chernihiv,Sosnyts'kyi,34831.0
Chernihiv,Sribnians'kyi,35023.0
Chernihiv,Talala‹vs'kyi,36067.0
Chernihiv,Varvyns'kyi,39172.0
Chernivtsi,Chernivets'ka,7662.0
Chernivtsi,Hlybots'kyi,14367.0
Chernivtsi,Khotyns'kyi,17964.0
Chernivtsi,Novoselits'kyi,25925.0
Chernivtsi,Storozhynets'kyi,35189.0
Crimea,Alushtyns'ka,1496.0
Crimea,Bakhchysarais'kyi,3140.0
Crimea,Bilohirs'kyi,4619.0
Crimea,Chornomors'kyi,7996.0
Crimea,Dzhankois'ka,10515.0
Crimea,Dzhankois'kyi,10516.0
Crimea,Feodosiis'ka,11587.0
Crimea,Ialtyns'ka,14821.0
Crimea,Ievpatoriis'ka,14990.0
Crimea,Kerchens'ka,17728.0
Crimea,Kirovs'kyi,18228.0
Crimea,Krasnohvardiis'kyi,18931.0
Crimea,Krasnoperekops'kyi,18945.0
Crimea,Lenins'kyi,20221.0
Crimea,Nyzhn'ohirs'kyi,26131.0
Crimea,Pervomais'kyi,28192.0
Crimea,Rozdol'nens'kyi,30836.0
Crimea,Saks'kyi,31257.0
Crimea,Simferopol's'ka,34229.0
Crimea,Simferopol's'kyi,34230.0
Crimea,Soviets'kyi,34961.0
Crimea,Sudats'ka,35300.0
Dnipropetrovs'k,Apostolivs'kyi,2013.0
Dnipropetrovs'k,Dniprodzerzhyns'ka,9965.0
Dnipropetrovs'k,Dnipropetrovs'ka,9966.0
Dnipropetrovs'k,Dnipropetrovs'kyi,9967.0
Dnipropetrovs'k,Iurïvs'kyi,15832.0
Dnipropetrovs'k,Krynychans'kyi,19030.0
Dnipropetrovs'k,Kryvoriz'kyi,19032.0
Dnipropetrovs'k,KryvyiRig,19033.0
Dnipropetrovs'k,Mahdalynivs'kyi,21388.0
Dnipropetrovs'k,Mezhivs'kyi,22871.0
Dnipropetrovs'k,Nikopol's'ka,25338.0
Dnipropetrovs'k,Nikopol's'kyi,25339.0
Dnipropetrovs'k,Novomoskovs'kyi,25910.0
Dnipropetrovs'k,Ordzhonikidzevs'ka,26723.0
Dnipropetrovs'k,Pavlograd,27918.0
Dnipropetrovs'k,Pavlohrads'kyi,27920.0
Dnipropetrovs'k,Petropavlivs'kyi,28252.0
Dnipropetrovs'k,Petrykivs'kyi,28264.0
Dnipropetrovs'k,Piatykhats'kyi,28416.0
Dnipropetrovs'k,Pokrovs'kyi,28862.0
Dnipropetrovs'k,Shyrokivs'kyi,33945.0
Dnipropetrovs'k,Sofi‹vs'kyi,34607.0
Dnipropetrovs'k,Solonians'kyi,34683.0
Dnipropetrovs'k,Synel'nykivs'ka,35662.0
Dnipropetrovs'k,Synel'nykivs'kyi,35663.0
Dnipropetrovs'k,Tomakivs'kyi,37539.0
Dnipropetrovs'k,Tsarychans'kyi,37965.0
Dnipropetrovs'k,Vasyl'kivs'kyi,39199.0
Dnipropetrovs'k,Verkhn'odniprovs'kyi,39334.0
Donets'k,Amvrosi‹vs'kyi,1671.0
Donets'k,Artemivs'ka,2371.0
Donets'k,Artemivs'kyi,2372.0
Donets'k,Dobropil's'ka,9996.0
Donets'k,Dobropil's'kyi,9997.0
Donets'k,Donets'ka,10139.0
Donets'k,Dzerzhyns'ka,10511.0
Donets'k,Horlivs'ka,14516.0
Donets'k,Iasynuvats'ka,14831.0
Donets'k,Iasynuvats'kyi,14832.0
Donets'k,Ienakiievs'ka,14985.0
Donets'k,Kostiantynivs'ka,18738.0
Donets'k,Kostiantynivs'kyi,18739.0
Donets'k,Kramators'ka,18898.0
Donets'k,Krasnoarmiis'ka,18917.0
Donets'k,Krasnoarmiis'kyi,18918.0
Donets'k,Krasnolymans'ka,18940.0
Donets'k,Krasnolymans'kyi,18941.0
Donets'k,Maki‹vs'ka,21496.0
Donets'k,Mariupol's'ka,22073.0
Donets'k,Mar‹ns'kyi,21886.0
Donets'k,Novoazovs'kyi,25887.0
Donets'k,Novohrodivs'ka,25899.0
Donets'k,Oleksandrivs'kyi,26477.0
Donets'k,Pershotravnevyi,28180.0
Donets'k,Selydovs'ka,33278.0
Donets'k,Shakhtars'ka,33595.0
Donets'k,Shakhtars'kyi,33596.0
Donets'k,Slovians'ka,34511.0
Donets'k,Slovians'kyi,34512.0
Donets'k,Snizhnens'ka,34555.0
Donets'k,Starobeshivs'kyi,35083.0
Donets'k,Tel'manivs'kyi,36664.0
Donets'k,Torez'ka,37667.0
Donets'k,Velykonovosilkivs'kyi,39275.0
Donets'k,Volnovas'kyi,39781.0
Donets'k,Volodars'kyi,39784.0
Donets'k,Vuhledars'ka,39876.0
Donets'k,n.a. ( 394),24295.0
Donets'k,n.a. ( 511),24298.0
Ivano-Frankivs'k,Dolyns'kyi,10083.0
Ivano-Frankivs'k,Halyts'kyi,13777.0
Ivano-Frankivs'k,Horodenkivs'kyi,14523.0
Ivano-Frankivs'k,Iaremchans'ka,14828.0
Ivano-Frankivs'k,Ivano-Frankivs'ka,15846.0
Ivano-Frankivs'k,Kalus'kyi,17029.0
Ivano-Frankivs'k,Kolomyis'kyi,18526.0
Ivano-Frankivs'k,Nadvirnians'kyi,24588.0
Ivano-Frankivs'k,Rohatyns'kyi,30656.0
Ivano-Frankivs'k,Sniatyns'kyi,34551.0
Ivano-Frankivs'k,Tlumats'kyi,37438.0
Ivano-Frankivs'k,Tysmenyts'kyi,38311.0
Kharkiv,Balakliis'kyi,3178.0
Kharkiv,Barvinkivs'kyi,3770.0
Kharkiv,Blyzniukivs'kyi,4830.0
Kharkiv,Bohodukhivs'kyi,4966.0
Kharkiv,Borivs'kyi,5218.0
Kharkiv,Chuhu‹vs'kyi,8040.0
Kharkiv,Derhachivs'kyi,9588.0
Kharkiv,Dvorichans'kyi,10500.0
Kharkiv,Iziums'ka,15938.0
Kharkiv,Iziums'kyi,15939.0
Kharkiv,Kehychivs'kyi,17649.0
Kharkiv,Kharkivs'ka,17850.0
Kharkiv,Kharkivs'kyi,17851.0
Kharkiv,Krasnohrads'kyi,18930.0
Kharkiv,Krasnokuts'kyi,18937.0
Kharkiv,Kupians'ka,19188.0
Kharkiv,Kupians'kyi,19189.0
Kharkiv,Lozivs'ka,20811.0
Kharkiv,Lozivs'kyi,20812.0
Kharkiv,Novovodolaz'kyi,25943.0
Kharkiv,Pecheniz'kyi,27962.0
Kharkiv,Pervomais'kyi,28192.0
Kharkiv,Shevchenkivs'kyi,33738.0
Kharkiv,Valkivs'kyi,39027.0
Kharkiv,Velykoburluts'kyi,39272.0
Kharkiv,Vovchans'kyi,39837.0
Kharkiv,Zachepylivs'kyi,41069.0
Kharkiv,Zmiïvs'kyi,41407.0
Kharkiv,Zolochivs'kyi,41422.0
Kherson,Beryslavs'kyi,4444.0
Kherson,Bilozers'kyi,4625.0
Kherson,Chaplyns'kyi,7483.0
Kherson,Heniches'kyi,14160.0
Kherson,Holoprystans'kyi,14449.0
Kherson,Hornosta‹vs'kyi,14519.0
Kherson,Kakhovs'kyi,16943.0
Kherson,Kalanchats'kyi,16971.0
Kherson,Khersons'ka,17890.0
Kherson,Novokahovs'ka,25900.0
Kherson,Novotro‹ts'kyi,25936.0
Kherson,Novovorontsovs'kyi,25945.0
Kherson,Nyzhn'osirohoz'kyi,26132.0
Kherson,Skadovs'kyi,34412.0
Kherson,Tsiurupyns'kyi,37995.0
Kherson,Velykolepetys'kyi,39273.0
Kherson,Velykooleksandrivs'kyi,39276.0
Kherson,Verkhn'orohachyts'kyi,39335.0
Kherson,Vysokopil's'kyi,39924.0
Khmel'nyts'kyy,Bilohirs'kyi,4619.0
Khmel'nyts'kyy,Chemerovets'kyi,7608.0
Khmel'nyts'kyy,Derazhnians'kyi,9576.0
Khmel'nyts'kyy,Dunaievets'kyi,10433.0
Khmel'nyts'kyy,Horodots'kyi,14527.0
Khmel'nyts'kyy,Iarmolynets'kyi,14829.0
Khmel'nyts'kyy,Iziaslavs'kyi,15937.0
Khmel'nyts'kyy,Kamianets'-Podil's'ka,17062.0
Khmel'nyts'kyy,Kamianets'-Podil's'kyi,17063.0
Khmel'nyts'kyy,Khmel'nyts'ka,17913.0
Khmel'nyts'kyy,Khmel'nyts'kyi,17914.0
Khmel'nyts'kyy,Krasylivs'kyi,18965.0
Khmel'nyts'kyy,Letychivs'kyi,20308.0
Khmel'nyts'kyy,Novoushyts'kyi,25939.0
Khmel'nyts'kyy,Polons'kyi,28889.0
Khmel'nyts'kyy,Shepetivs'ka,33724.0
Khmel'nyts'kyy,Shepetivs'kyi,33725.0
Khmel'nyts'kyy,Slavuts'kyi,34481.0
Khmel'nyts'kyy,Starokostiantynivs'kyi,35087.0
Khmel'nyts'kyy,Starosyniavs'kyi,35096.0
Khmel'nyts'kyy,Teofipol's'kyi,36766.0
Khmel'nyts'kyy,Vin'kovets'kyi,39614.0
Khmel'nyts'kyy,Volochys'kyi,39782.0
Kiev,Baryshivs'kyi,3775.0
Kiev,Bilotserkivs'ka,4622.0
Kiev,Bilotserkivs'kyi,4623.0
Kiev,Bohuslavs'kyi,4968.0
Kiev,Borodians'kyi,5235.0
Kiev,Boryspil's'ka,5260.0
Kiev,Brovars'ka,5671.0
Kiev,Brovars'kyi,5672.0
Kiev,Fastivs'ka,11510.0
Kiev,Fastivs'kyi,11511.0
Kiev,Iahotyns'kyi,14818.0
Kiev,Irpins'ka,15506.0
Kiev,Ivankivs'kyi,15844.0
Kiev,Kaharlyts'kyi,16886.0
Kiev,Kyievo-Sviatoshyns'kyi,19355.0
Kiev,Makarivs'kyi,21482.0
Kiev,Myronivs'kyi,24276.0
Kiev,Obukhivs'kyi,26204.0
Kiev,Pereiaslav-Khmel'nyts'kyi,28130.0
Kiev,Polis'kyi,28882.0
Kiev,Rokytnians'kyi,30669.0
